regularization_lambda,num_epochs,batch_size,learning_rate,train_auc,val_auc
1,200,128,0.0005,0.5969738129009935,0.6066673125222449
0,200,128,0.0005,0.5969738129009935,0.6066673125222449
10,200,128,0.0005,0.5969738129009935,0.6066673125222449
100,200,128,0.0005,0.5969738129009935,0.6066673125222449
0.5,200,128,0.0005,0.5969738129009935,0.6066673125222449
5,200,128,0.0005,0.5969738129009935,0.6066673125222449
0.1,200,128,0.0005,0.5969738129009935,0.6066673125222449
0.05,200,128,0.0005,0.5969738129009935,0.6066673125222449
50,200,128,0.0005,0.5969738129009935,0.6066673125222449
0.01,200,128,0.0005,0.5969738129009935,0.6066673125222449
